accuracy,foragers,recruits,min_cycles,max_cycles,avg_cycles,file_name
100,53,47,1,1675,468.02,results_11_nodes_60_bees_3_scouts_2500_cycles.csv
100,52,48,4,2273,436.37,results_11_nodes_60_bees_9_scouts_2500_cycles.csv
100,52,48,3,1541,317.82,results_11_nodes_90_bees_14_scouts_2500_cycles.csv
100,52,48,1,1607,387.34,results_11_nodes_60_bees_6_scouts_2500_cycles.csv
100,52,48,1,1131,307.12,results_11_nodes_90_bees_9_scouts_1500_cycles.csv
100,50,50,1,1643,340.45,results_11_nodes_90_bees_5_scouts_2500_cycles.csv
100,49,51,5,2239,530.45,results_11_nodes_60_bees_12_scouts_2500_cycles.csv
100,49,51,1,1605,311.04,results_11_nodes_90_bees_9_scouts_2500_cycles.csv
100,45,55,1,1740,360.82,results_11_nodes_90_bees_5_scouts_2000_cycles.csv
100,40,60,7,1963,242.44,results_11_nodes_90_bees_14_scouts_2000_cycles.csv
100,38,62,1,966,238.63,results_11_nodes_90_bees_9_scouts_2000_cycles.csv
99,59,41,1,1312,308.51,results_11_nodes_60_bees_6_scouts_1500_cycles.csv
99,56,44,1,1768,425.87,results_11_nodes_60_bees_6_scouts_2000_cycles.csv
99,55,45,1,1380,311.75,results_11_nodes_90_bees_14_scouts_1500_cycles.csv
99,47,53,1,1708,404.01,results_11_nodes_60_bees_9_scouts_2000_cycles.csv
99,40,60,2,1704,472.47,results_11_nodes_60_bees_3_scouts_2000_cycles.csv
98,59,41,1,1323,306.22,results_11_nodes_90_bees_5_scouts_1500_cycles.csv
98,45,55,1,1415,396.06,results_11_nodes_60_bees_9_scouts_1500_cycles.csv
94,56,44,2,2274,919.9,results_11_nodes_30_bees_2_scouts_2500_cycles.csv
94,49,51,5,2492,832.79,results_11_nodes_30_bees_3_scouts_2500_cycles.csv
92,54,46,1,1343,409.44,results_11_nodes_60_bees_3_scouts_1500_cycles.csv
91,46,54,4,1955,681.85,results_11_nodes_30_bees_3_scouts_2000_cycles.csv
91,40,60,5,2344,721.1,results_11_nodes_30_bees_6_scouts_2500_cycles.csv
90,48,52,5,1832,650.51,results_11_nodes_30_bees_2_scouts_2000_cycles.csv
81,57,43,13,1475,573.99,results_11_nodes_30_bees_3_scouts_1500_cycles.csv
79,55,45,1,2485,913.45,results_11_nodes_90_bees_0_scouts_2500_cycles.csv
74,55,45,2,1468,570.31,results_11_nodes_30_bees_2_scouts_1500_cycles.csv
72,46,54,1,1987,748.84,results_11_nodes_90_bees_0_scouts_2000_cycles.csv
62,59,41,5,2489,1114.06,results_11_nodes_60_bees_0_scouts_2500_cycles.csv
60,66,34,1,1469,588.31,results_11_nodes_90_bees_0_scouts_1500_cycles.csv
58,47,53,3,1992,881.72,results_11_nodes_60_bees_0_scouts_2000_cycles.csv
49,60,40,1,1471,681.09,results_11_nodes_60_bees_0_scouts_1500_cycles.csv
43,57,43,2,2457,1162.65,results_11_nodes_30_bees_0_scouts_2500_cycles.csv
31,43,57,2,1992,761.98,results_11_nodes_30_bees_0_scouts_2000_cycles.csv
26,42,58,3,1484,664.02,results_11_nodes_30_bees_0_scouts_1500_cycles.csv
