367,"[5, 7, 0, 6, 8, 3, 9, 4, 1, 2, 10]",310.951,F
389,"[0, 2, 1, 4, 9, 3, 8, 6, 7, 5, 10]",327.058,R
1599,"[10, 5, 7, 0, 6, 8, 3, 9, 4, 1, 2]",310.951,F
1418,"[5, 7, 0, 6, 8, 3, 9, 4, 1, 2, 10]",310.951,F
813,"[7, 5, 10, 2, 1, 4, 9, 3, 8, 6, 0]",310.951,R
859,"[3, 9, 4, 1, 2, 7, 5, 10, 0, 6, 8]",324.406,F
615,"[4, 1, 2, 10, 5, 7, 0, 6, 8, 3, 9]",310.951,F
757,"[5, 10, 2, 1, 4, 9, 3, 8, 6, 0, 7]",310.951,F
1700,"[2, 1, 4, 9, 3, 8, 6, 0, 7, 5, 10]",310.951,R
199,"[6, 3, 9, 4, 1, 2, 10, 5, 7, 0, 8]",317.3,F
1891,"[5, 2, 1, 4, 9, 3, 8, 6, 0, 7, 10]",313.413,F
1347,"[5, 2, 1, 4, 9, 3, 8, 6, 0, 7, 10]",313.413,F
1080,"[7, 0, 6, 8, 3, 9, 4, 1, 2, 10, 5]",310.951,R
1984,"[5, 10, 0, 6, 8, 3, 9, 4, 1, 2, 7]",324.406,F
7,"[6, 0, 7, 5, 10, 2, 1, 4, 9, 3, 8]",310.951,R
1696,"[3, 8, 6, 0, 10, 5, 7, 2, 1, 4, 9]",324.406,R
730,"[4, 1, 2, 10, 5, 7, 0, 6, 8, 3, 9]",310.951,R
1617,"[6, 8, 9, 4, 1, 2, 10, 5, 7, 0, 3]",320.587,F
778,"[2, 1, 4, 9, 3, 8, 6, 0, 7, 5, 10]",310.951,F
4,"[4, 1, 2, 0, 10, 5, 7, 6, 8, 3, 9]",327.058,R
603,"[6, 0, 7, 5, 10, 2, 1, 4, 9, 3, 8]",310.951,F
1699,"[9, 3, 8, 6, 0, 7, 5, 10, 2, 1, 4]",310.951,F
799,"[2, 10, 5, 7, 0, 6, 8, 3, 9, 4, 1]",310.951,R
1468,"[9, 4, 1, 2, 10, 5, 7, 0, 6, 8, 3]",310.951,F
981,"[1, 2, 10, 5, 7, 0, 6, 8, 3, 9, 4]",310.951,R
1731,"[0, 10, 5, 7, 2, 1, 4, 9, 3, 8, 6]",324.406,F
26,"[10, 2, 1, 4, 9, 3, 8, 6, 0, 7, 5]",310.951,R
852,"[1, 2, 10, 5, 7, 0, 6, 8, 3, 9, 4]",310.951,R
424,"[1, 2, 10, 5, 7, 0, 6, 8, 3, 9, 4]",310.951,F
1992,"[10, 5, 7, 0, 6, 8, 3, 9, 4, 1, 2]",310.951,F
1800,"[1, 2, 7, 5, 10, 0, 6, 8, 3, 9, 4]",324.406,R
1869,"[10, 5, 7, 0, 6, 8, 3, 9, 4, 1, 2]",310.951,R
1728,"[4, 1, 2, 10, 5, 7, 0, 6, 8, 3, 9]",310.951,F
818,"[8, 6, 0, 10, 5, 7, 2, 1, 4, 9, 3]",324.406,R
379,"[7, 5, 10, 2, 1, 4, 9, 3, 8, 6, 0]",310.951,R
1927,"[8, 9, 4, 1, 2, 0, 10, 5, 7, 6, 3]",334.92,R
838,"[9, 3, 8, 6, 0, 7, 5, 10, 2, 1, 4]",310.951,R
511,"[5, 7, 0, 6, 8, 3, 9, 4, 1, 2, 10]",310.951,R
648,"[2, 1, 4, 9, 3, 8, 6, 0, 7, 5, 10]",310.951,F
1144,"[8, 6, 5, 10, 7, 0, 2, 1, 4, 9, 3]",329.014,F
395,"[3, 8, 6, 0, 7, 5, 10, 2, 1, 4, 9]",310.951,R
40,"[10, 0, 2, 1, 4, 9, 3, 8, 6, 7, 5]",327.058,F
542,"[2, 1, 4, 9, 3, 8, 6, 0, 7, 5, 10]",310.951,R
1060,"[10, 7, 0, 2, 1, 4, 9, 3, 8, 6, 5]",329.014,F
363,"[8, 6, 0, 7, 5, 10, 2, 1, 4, 9, 3]",310.951,R
449,"[2, 1, 4, 9, 3, 8, 6, 7, 5, 10, 0]",327.058,R
1144,"[0, 6, 8, 3, 9, 4, 1, 2, 10, 5, 7]",310.951,R
202,"[5, 7, 6, 8, 3, 9, 4, 1, 2, 0, 10]",327.058,R
1531,"[1, 2, 7, 5, 10, 0, 6, 8, 3, 9, 4]",324.406,R
272,"[5, 6, 8, 3, 9, 4, 1, 2, 0, 7, 10]",329.014,R
7,"[10, 0, 6, 8, 3, 9, 4, 1, 2, 7, 5]",324.406,R
1723,"[8, 3, 0, 7, 5, 10, 2, 1, 4, 9, 6]",322.107,R
623,"[1, 2, 10, 5, 7, 0, 6, 8, 3, 9, 4]",310.951,F
878,"[5, 0, 6, 8, 3, 9, 4, 1, 2, 7, 10]",326.264,F
1393,"[10, 5, 7, 0, 6, 8, 3, 9, 4, 1, 2]",310.951,R
3,"[2, 7, 5, 10, 0, 6, 8, 3, 9, 4, 1]",324.406,R
611,"[6, 8, 9, 4, 1, 2, 10, 5, 7, 0, 3]",320.587,R
1325,"[4, 9, 3, 8, 6, 0, 7, 5, 10, 2, 1]",310.951,F
16,"[4, 1, 2, 10, 5, 7, 0, 6, 8, 3, 9]",310.951,R
1778,"[4, 9, 3, 8, 6, 0, 7, 5, 10, 2, 1]",310.951,R
16,"[3, 9, 4, 1, 2, 10, 5, 7, 0, 6, 8]",310.951,F
10,"[1, 2, 10, 5, 7, 0, 6, 8, 3, 9, 4]",310.951,R
491,"[5, 10, 2, 1, 4, 9, 3, 8, 6, 0, 7]",310.951,R
1313,"[4, 1, 2, 7, 5, 10, 0, 6, 8, 3, 9]",324.406,R
900,"[5, 2, 1, 4, 9, 3, 8, 6, 0, 7, 10]",313.413,R
271,"[8, 3, 9, 4, 1, 2, 10, 5, 7, 0, 6]",310.951,F
1169,"[10, 2, 1, 4, 9, 3, 8, 6, 0, 7, 5]",310.951,R
