357,"[10, 6, 5, 7, 2, 8, 9, 0, 3, 1, 11, 4]",333.99,R
757,"[6, 10, 4, 11, 1, 3, 0, 9, 8, 2, 7, 5]",333.99,F
802,"[9, 8, 2, 7, 5, 6, 10, 4, 11, 1, 3, 0]",333.99,F
811,"[6, 7, 2, 8, 9, 0, 3, 1, 11, 4, 5, 10]",340.316,F
294,"[7, 2, 9, 0, 8, 3, 1, 11, 4, 5, 10, 6]",353.436,R
416,"[11, 1, 3, 0, 9, 2, 7, 8, 5, 6, 10, 4]",359.507,F
624,"[9, 8, 2, 7, 5, 6, 10, 4, 11, 1, 3, 0]",333.99,F
1391,"[6, 5, 7, 2, 8, 1, 3, 9, 0, 11, 4, 10]",358.304,F
1162,"[2, 8, 9, 0, 3, 1, 11, 4, 5, 10, 6, 7]",340.316,R
504,"[9, 0, 8, 3, 1, 11, 4, 10, 6, 5, 7, 2]",347.111,F
406,"[0, 11, 4, 10, 6, 5, 7, 2, 8, 1, 3, 9]",358.304,R
1358,"[11, 1, 3, 0, 9, 8, 2, 7, 6, 10, 5, 4]",340.316,F
665,"[8, 3, 1, 2, 7, 6, 10, 5, 4, 11, 0, 9]",382.732,R
544,"[6, 7, 2, 8, 9, 0, 3, 1, 11, 4, 5, 10]",340.316,F
1252,"[2, 8, 9, 0, 3, 1, 11, 4, 10, 6, 5, 7]",333.99,F
26,"[6, 5, 7, 2, 8, 9, 0, 3, 1, 11, 4, 10]",333.99,R
1297,"[3, 0, 9, 8, 2, 7, 5, 6, 10, 4, 11, 1]",333.99,F
1473,"[6, 5, 7, 2, 8, 9, 0, 3, 1, 11, 4, 10]",333.99,R
385,"[3, 11, 4, 10, 6, 5, 7, 2, 9, 0, 8, 1]",355.371,R
703,"[7, 2, 9, 0, 8, 3, 1, 11, 4, 5, 10, 6]",353.436,R
459,"[7, 2, 8, 9, 0, 3, 1, 11, 4, 5, 10, 6]",340.316,F
100,"[6, 5, 7, 2, 9, 0, 8, 3, 1, 11, 4, 10]",347.111,R
834,"[8, 2, 7, 5, 6, 10, 4, 11, 1, 3, 0, 9]",333.99,R
976,"[0, 8, 2, 7, 6, 10, 5, 4, 11, 1, 3, 9]",347.928,F
1093,"[0, 11, 4, 1, 3, 5, 10, 6, 7, 2, 8, 9]",376.836,R
21,"[7, 5, 6, 10, 4, 11, 1, 3, 8, 0, 9, 2]",347.111,R
618,"[11, 1, 3, 0, 9, 2, 7, 8, 6, 10, 5, 4]",379.21,F
1489,"[6, 4, 11, 1, 3, 0, 9, 8, 2, 7, 5, 10]",344.2,F
1316,"[7, 6, 10, 5, 4, 11, 1, 3, 0, 9, 8, 2]",340.316,F
91,"[9, 8, 2, 7, 5, 6, 10, 4, 11, 1, 3, 0]",333.99,R
329,"[3, 8, 0, 9, 2, 7, 5, 6, 10, 4, 11, 1]",347.111,R
1327,"[7, 8, 9, 0, 3, 1, 11, 4, 10, 6, 5, 2]",349.748,F
900,"[9, 0, 3, 1, 11, 4, 10, 6, 5, 7, 2, 8]",333.99,F
171,"[4, 10, 6, 5, 7, 2, 8, 9, 0, 3, 1, 11]",333.99,R
896,"[5, 7, 2, 8, 9, 0, 3, 1, 11, 4, 10, 6]",333.99,R
155,"[3, 1, 11, 4, 10, 6, 5, 7, 2, 9, 0, 8]",347.111,R
592,"[6, 10, 5, 4, 11, 1, 3, 0, 9, 8, 2, 7]",340.316,F
415,"[6, 5, 7, 2, 8, 9, 0, 3, 1, 11, 4, 10]",333.99,R
294,"[0, 3, 1, 11, 4, 10, 6, 5, 7, 2, 8, 9]",333.99,R
